日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920634,14.96,14.72,15.26,14.53,6122,9209339.9,4.87,-1.87,-0.28,1.87
2025-01-03,920634,14.97,16.07,17.25,14.7,32223,52405585.32,17.32,9.17,1.35,9.83
2025-01-06,920634,15.64,16.76,16.84,15.2,29361,47737644.3,10.21,4.29,0.69,8.96
2025-01-07,920634,16.76,16.7,16.78,15.78,22896,37369755.45,5.97,-0.36,-0.06,6.98
2025-01-08,920634,16.47,16.24,16.6,15.71,16760,27259258.95,5.33,-2.75,-0.46,5.11
2025-01-09,920634,16.06,16.85,17.17,16.06,21000,35284314.22,6.83,3.76,0.61,6.41
2025-01-10,920634,16.6,15.81,16.92,15.79,14257,23677618.93,6.71,-6.17,-1.04,4.35
2025-01-13,920634,15.25,17.07,18.76,15.25,36785,63768082.96,22.2,7.97,1.26,11.22
2025-01-14,920634,17.07,18.57,18.57,16.6,37812,66488607.86,11.54,8.79,1.5,11.53
2025-01-15,920634,17.97,17.98,18.76,17.3,27650,50016267.44,7.86,-3.18,-0.59,8.43
2025-01-16,920634,17.99,20.35,20.35,17.99,47781,92326892.87,13.13,13.18,2.37,14.58
2025-01-17,920634,19.6,19.18,20.3,19.09,30528,59590510.48,5.95,-5.75,-1.17,9.31
2025-01-20,920634,19.39,18.7,19.39,18.4,24101,45359186.92,5.16,-2.5,-0.48,7.35
2025-01-21,920634,18.76,18.19,18.79,17.85,17100,31209164.81,5.03,-2.73,-0.51,5.22
2025-01-22,920634,18.15,18.28,18.75,17.9,17199,31913847.19,4.67,0.49,0.09,5.25
2025-01-23,920634,18.37,17.76,18.89,17.68,18532,34239880.89,6.62,-2.84,-0.52,5.65
2025-01-24,920634,17.4,17.5,17.96,17.23,14337,25434121.09,4.11,-1.46,-0.26,4.37
2025-01-27,920634,17.4,16.9,17.73,16.9,8309,14488327.71,4.74,-3.43,-0.6,2.53
2025-02-05,920634,17.28,16.65,17.38,16.65,11297,19273470.87,4.32,-1.48,-0.25,3.45
2025-02-06,920634,16.87,17.94,18.06,16.5,19189,33413773.98,9.37,7.75,1.29,5.85
