日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920651,23.9,24.02,24.32,23.39,3542,8700158.27,3.87,-0.12,-0.03,2.32
2025-01-03,920651,24.08,23.9,24.22,23.71,2433,5984668.58,2.12,-0.5,-0.12,1.59
2025-01-06,920651,24.0,24.1,24.17,23.3,2467,6063281.64,3.64,0.84,0.2,1.62
2025-01-07,920651,23.86,24.15,24.2,23.36,4120,10095121.95,3.49,0.21,0.05,2.7
2025-01-08,920651,24.28,24.29,24.3,23.61,2505,6195184.73,2.86,0.58,0.14,1.64
2025-01-09,920651,24.29,27.07,27.1,23.9,13617,36011934.76,13.17,11.45,2.78,8.91
2025-01-10,920651,26.3,27.3,28.1,25.5,15652,43130567.45,9.6,0.85,0.23,10.25
2025-01-13,920651,27.01,25.4,27.54,24.81,10860,28810178.46,10.0,-6.96,-1.9,7.11
2025-01-14,920651,25.4,26.91,27.1,24.65,56572,151571925.0,9.65,5.94,1.51,37.04
2025-01-15,920651,26.31,24.4,26.35,24.25,51254,133171108.79,7.8,-9.33,-2.51,33.55
2025-01-16,920651,24.3,23.52,25.09,22.98,34268,84153521.96,8.65,-3.61,-0.88,22.43
2025-01-17,920651,23.48,21.75,23.48,21.6,29181,67157230.54,7.99,-7.53,-1.77,19.1
2025-01-20,920651,21.96,21.9,22.05,21.54,13448,30236077.35,2.34,0.69,0.15,8.8
2025-01-21,920651,22.23,21.41,22.24,21.38,11002,24530567.27,3.93,-2.24,-0.49,7.2
2025-01-22,920651,21.56,20.45,21.56,20.35,13457,28722523.86,5.65,-4.48,-0.96,8.81
2025-01-23,920651,20.74,20.31,21.15,20.31,12162,26033985.54,4.11,-0.68,-0.14,7.96
2025-01-24,920651,19.95,20.3,20.49,19.84,9038,18917866.29,3.2,-0.05,-0.01,5.92
2025-01-27,920651,20.4,19.45,20.6,19.45,7965,16405761.32,5.67,-4.19,-0.85,5.21
2025-02-05,920651,19.68,18.8,19.68,18.8,9001,17757874.88,4.52,-3.34,-0.65,5.89
2025-02-06,920651,18.9,19.66,19.67,18.68,16232,32479379.05,5.27,4.57,0.86,10.63
2025-02-07,920651,19.66,20.5,20.74,19.46,22745,47448535.07,6.51,4.27,0.84,14.89
2025-02-10,920651,20.48,20.93,20.98,20.21,15327,32668025.78,3.76,2.1,0.43,10.03
2025-02-11,920651,21.11,21.6,21.92,20.65,24649,54464947.89,6.07,3.2,0.67,16.14
2025-02-12,920651,21.65,21.98,22.01,21.32,20146,45204820.67,3.19,1.76,0.38,13.19
2025-02-13,920651,21.98,21.0,22.2,20.22,15491,34406498.86,9.01,-4.46,-0.98,10.14
2025-02-14,920651,21.0,20.5,21.16,20.48,11028,23585308.47,3.24,-2.38,-0.5,7.22
2025-02-17,920651,20.6,20.83,21.15,20.52,11455,24599944.65,3.07,1.61,0.33,7.5
2025-02-18,920651,20.8,20.88,21.87,20.72,23260,51303482.24,5.52,0.24,0.05,15.23
2025-02-19,920651,20.74,21.22,21.24,20.62,12260,26586886.23,2.97,1.63,0.34,8.03
2025-02-20,920651,21.3,22.08,22.1,21.1,20915,46780775.46,4.71,4.05,0.86,13.69
2025-02-21,920651,21.86,22.31,22.48,21.45,19378,43958447.21,4.66,1.04,0.23,12.69
2025-02-24,920651,23.29,21.86,23.29,21.82,15685,36090418.51,6.59,-2.02,-0.45,10.27
2025-02-25,920651,21.64,21.48,22.07,21.21,7979,17847192.92,3.93,-1.74,-0.38,5.22
2025-02-26,920651,21.34,21.75,22.0,21.34,7970,17855523.25,3.07,1.26,0.27,5.22
2025-02-27,920651,21.92,22.2,22.3,21.61,12355,28086197.6,3.17,2.07,0.45,8.09
2025-02-28,920651,23.73,24.5,25.65,23.26,55930,140736169.88,10.77,10.36,2.3,36.62
2025-03-03,920651,24.45,26.88,27.96,23.3,51625,136903197.09,19.02,9.71,2.38,33.8
2025-03-04,920651,26.36,28.5,29.25,24.88,46398,126770982.12,16.26,6.03,1.62,30.38
2025-03-05,920651,28.19,27.58,31.29,26.98,53434,158216285.31,15.12,-3.23,-0.92,34.98
2025-03-06,920651,27.35,26.5,27.8,25.95,37835,103873572.96,6.71,-3.92,-1.08,24.77
2025-03-07,920651,25.56,28.29,28.8,25.56,40060,113505202.13,12.23,6.75,1.79,26.23
2025-03-10,920651,28.1,27.82,28.69,26.89,28066,79686085.42,6.36,-1.66,-0.47,18.37
2025-03-11,920651,27.3,28.4,28.5,26.59,22049,62315677.86,6.87,2.08,0.58,14.43
2025-03-12,920651,28.41,28.9,29.45,27.87,26022,76830056.46,5.56,1.76,0.5,17.04
2025-03-13,920651,28.61,29.16,29.5,27.88,21306,62357103.2,5.61,0.9,0.26,13.95
2025-03-14,920651,29.51,30.32,31.9,29.51,32015,100278300.31,8.2,3.98,1.16,20.96
2025-03-17,920651,31.35,30.96,33.38,30.38,27080,87608430.46,9.89,2.11,0.64,17.73
2025-03-18,920651,32.0,34.35,36.68,31.3,50281,174342992.89,17.38,10.95,3.39,32.92
2025-03-19,920651,33.06,29.06,33.06,28.86,44488,139892385.85,12.23,-15.4,-5.29,29.13
2025-03-20,920651,28.77,27.58,29.2,27.52,27008,78321284.92,5.78,-5.09,-1.48,17.68
2025-03-21,920651,27.89,27.33,28.0,26.31,20371,56541860.97,6.13,-0.91,-0.25,13.34
2025-03-24,920651,27.33,27.61,27.61,25.96,13415,36970717.97,6.04,1.02,0.28,8.78
2025-03-25,920651,27.65,29.53,29.63,27.08,22985,67224904.57,9.24,6.95,1.92,15.05
2025-03-26,920651,29.98,28.99,30.49,28.63,16140,48523595.45,6.3,-1.83,-0.54,10.57
2025-03-27,920651,28.98,30.65,31.9,28.1,30916,96033046.28,13.11,5.73,1.66,20.24
2025-03-28,920651,30.18,27.35,30.3,27.3,24556,72624872.34,9.79,-10.77,-3.3,16.08
2025-03-31,920651,27.4,27.72,28.28,26.23,14643,40444291.19,7.5,1.35,0.37,9.59
2025-04-01,920651,27.6,28.18,28.96,27.51,13046,37855776.68,5.23,1.66,0.46,8.54
2025-04-02,920651,28.29,28.16,28.99,27.97,8404,24513490.58,3.62,-0.07,-0.02,5.5
2025-04-03,920651,27.79,28.82,29.08,27.79,11468,33513287.26,4.58,2.34,0.66,7.51
2025-04-07,920651,27.3,22.99,27.3,21.41,20763,51857015.62,20.44,-20.23,-5.83,13.59
2025-04-08,920651,23.33,24.09,24.45,23.21,15246,37458757.25,5.39,4.78,1.1,9.98
2025-04-09,920651,23.54,26.37,26.62,23.13,19550,50775160.91,14.49,9.46,2.28,12.8
2025-04-10,920651,26.52,26.91,28.79,26.52,20542,58327670.47,8.61,2.05,0.54,13.45
2025-04-11,920651,26.65,27.17,27.99,26.64,13172,37059654.98,5.02,0.97,0.26,8.62
2025-04-14,920651,27.6,27.95,28.75,27.46,12587,36099710.4,4.75,2.87,0.78,8.24
2025-04-15,920651,27.96,29.23,29.46,27.21,20414,59780293.26,8.05,4.58,1.28,13.36
2025-04-16,920651,29.8,28.5,31.28,28.0,22163,66889100.46,11.22,-2.5,-0.73,14.51
2025-04-17,920651,28.05,29.8,30.37,27.83,20268,61113514.93,8.91,4.56,1.3,13.27
2025-04-18,920651,30.1,29.98,30.4,29.32,17758,54362872.05,3.62,0.6,0.18,11.63
2025-04-21,920651,30.19,30.6,31.04,29.39,15849,48864473.46,5.5,2.07,0.62,10.38
2025-04-22,920651,30.4,31.3,32.32,30.29,28458,91668406.01,6.63,2.29,0.7,18.63
2025-04-23,920651,31.45,30.9,32.15,30.7,21588,69337294.26,4.63,-1.28,-0.4,14.13
2025-04-24,920651,30.55,29.94,30.89,28.3,22194,67427269.09,8.38,-3.11,-0.96,14.53
2025-04-25,920651,29.89,29.03,31.26,29.0,18067,55214930.89,7.55,-3.04,-0.91,11.83
2025-04-28,920651,28.74,28.27,29.26,27.84,13082,37981227.48,4.89,-2.62,-0.76,8.56
2025-04-29,920651,27.97,29.07,29.17,27.6,11399,33554718.37,5.55,2.83,0.8,7.46
2025-04-30,920651,29.14,29.18,29.78,29.01,11986,35915675.7,2.65,0.38,0.11,7.85
2025-05-06,920651,29.29,30.0,30.0,29.21,13493,40917657.95,2.71,2.81,0.82,8.83
2025-05-07,920651,30.43,29.63,30.54,29.23,14961,45882492.46,4.37,-1.23,-0.37,9.79
2025-05-08,920651,29.63,29.64,30.08,29.3,10899,33044968.05,2.63,0.03,0.01,7.14
2025-05-09,920651,29.8,29.48,29.8,28.9,11357,34165424.04,3.04,-0.54,-0.16,7.44
2025-05-12,920651,29.77,29.89,30.14,29.35,10890,33059932.0,2.68,1.39,0.41,7.13
2025-05-13,920651,30.13,29.16,30.5,29.11,10255,31046165.28,4.65,-2.44,-0.73,6.71
2025-05-14,920651,29.3,29.02,29.3,28.4,8228,24240734.27,3.09,-0.48,-0.14,5.39
2025-05-15,920651,29.1,29.35,29.8,28.88,9663,29099675.9,3.17,1.14,0.33,6.33
2025-05-16,920651,29.5,29.58,30.13,29.12,10803,32828614.3,3.44,0.78,0.23,7.07
2025-05-19,920651,29.31,29.46,29.59,28.61,6076,18117346.19,3.31,-0.41,-0.12,3.98
2025-05-20,920651,29.58,30.67,30.9,29.38,21448,66805768.54,5.16,4.11,1.21,14.04
2025-05-21,920651,31.79,30.65,32.25,30.11,20829,66181784.04,6.98,-0.07,-0.02,13.64
2025-05-22,920651,30.5,28.86,30.95,28.41,16417,49441950.54,8.29,-5.84,-1.79,10.75
2025-05-23,920651,28.85,28.14,29.26,28.03,9774,28689905.78,4.26,-2.49,-0.72,6.4
2025-05-26,920651,28.25,28.75,28.76,27.95,6214,18074043.04,2.88,2.17,0.61,4.07
2025-05-27,920651,29.0,29.21,29.9,28.55,11943,35903019.88,4.7,1.6,0.46,7.82
2025-05-28,920651,29.5,29.37,30.02,28.88,7889,23768911.3,3.9,0.55,0.16,5.16
2025-05-29,920651,29.27,30.29,30.52,29.24,11827,36416696.02,4.36,3.13,0.92,7.74
2025-05-30,920651,30.17,29.2,30.31,29.11,7776,22963102.05,3.96,-3.6,-1.09,5.09
2025-06-03,920651,28.91,29.64,29.75,28.51,5875,17174215.97,4.25,1.51,0.44,3.85
2025-06-04,920651,29.97,29.47,30.0,29.39,5574,16516217.64,2.06,-0.57,-0.17,3.65
2025-06-05,920651,29.65,29.53,29.67,29.23,4906,14468996.75,1.49,0.2,0.06,3.21
2025-06-06,920651,29.65,29.6,29.74,29.4,3734,11045291.56,1.15,0.24,0.07,2.44
2025-06-09,920651,29.75,29.65,29.81,29.46,5493,16286140.57,1.18,0.17,0.05,3.6
2025-06-10,920651,29.81,29.25,29.88,28.8,8075,23713959.0,3.64,-1.35,-0.4,5.29
2025-06-11,920651,29.48,30.18,30.62,29.15,10059,30231200.33,5.03,3.18,0.93,6.59
2025-06-12,920651,30.27,30.23,30.5,29.7,7931,23867950.58,2.65,0.17,0.05,5.19
