日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920694,11.32,11.52,11.68,11.12,6674,10075458.52,4.99,2.67,0.3,1.4
2025-01-03,920694,11.52,11.4,11.69,11.08,5368,8189810.62,5.3,-1.04,-0.12,1.13
2025-01-06,920694,11.5,11.29,11.61,11.22,5193,7845702.3,3.42,-0.96,-0.11,1.09
2025-01-07,920694,11.39,11.47,11.48,11.15,3354,5045196.55,2.92,1.59,0.18,0.71
2025-01-08,920694,11.46,11.69,11.73,11.17,7554,11483491.74,4.88,1.92,0.22,1.59
2025-01-09,920694,11.69,11.79,12.07,11.55,10053,15739761.58,4.45,0.86,0.1,2.12
2025-01-10,920694,11.86,11.1,11.86,11.08,6252,9548936.57,6.62,-5.85,-0.69,1.32
2025-01-13,920694,11.12,11.23,11.57,11.01,7586,11452830.64,5.05,1.17,0.13,1.6
2025-01-14,920694,11.26,12.05,12.06,11.06,14021,21634888.71,8.9,7.3,0.82,2.95
2025-01-15,920694,12.16,12.05,12.35,11.91,10197,16365974.28,3.65,0.0,0.0,2.15
2025-01-16,920694,12.15,12.1,12.37,11.96,7475,12060234.3,3.4,0.41,0.05,1.57
2025-01-17,920694,12.15,12.02,12.27,11.85,6351,10145451.6,3.47,-0.66,-0.08,1.34
2025-01-20,920694,12.12,12.08,12.28,12.01,5235,8404184.39,2.25,0.5,0.06,1.1
2025-01-21,920694,12.17,11.85,12.22,11.85,6186,9857023.77,3.06,-1.9,-0.23,1.3
2025-01-22,920694,11.94,11.5,11.94,11.46,4594,7063584.65,4.05,-2.95,-0.35,0.97
2025-01-23,920694,11.65,11.52,11.95,11.52,5037,7834404.6,3.74,0.17,0.02,1.05
2025-01-24,920694,11.6,11.53,11.71,11.38,5587,8555267.65,2.86,0.09,0.01,1.16
2025-01-27,920694,11.63,11.5,11.79,11.45,3607,5540872.81,2.95,-0.26,-0.03,0.75
2025-02-05,920694,11.61,11.5,11.67,11.38,2806,4283264.27,2.52,0.0,0.0,0.58
2025-02-06,920694,11.45,11.88,11.89,11.38,7769,11975448.4,4.43,3.3,0.38,1.62
2025-02-07,920694,11.93,12.22,12.52,11.79,15351,24706499.93,6.14,2.86,0.34,3.19
2025-02-10,920694,12.35,12.33,12.38,12.1,7875,12781720.52,2.29,0.9,0.11,1.64
2025-02-11,920694,12.38,12.49,12.73,12.25,13913,23030921.58,3.89,1.3,0.16,2.89
2025-02-12,920694,12.62,12.5,12.62,12.32,9325,15403997.45,2.4,0.08,0.01,1.94
2025-02-13,920694,12.59,12.08,12.69,12.08,10967,18024947.92,4.88,-3.36,-0.42,2.28
2025-02-14,920694,12.0,12.02,12.12,11.88,5830,9267924.62,1.99,-0.5,-0.06,1.21
2025-02-17,920694,11.99,12.4,12.57,11.96,8760,14260979.68,5.07,3.16,0.38,1.82
2025-02-18,920694,12.38,11.92,12.47,11.86,6645,10710360.78,4.92,-3.87,-0.48,1.38
2025-02-19,920694,11.89,12.2,12.25,11.85,6910,11014253.6,3.36,2.35,0.28,1.44
2025-02-20,920694,12.16,12.98,13.45,12.12,21990,37388776.34,10.9,6.39,0.78,4.57
2025-02-21,920694,12.78,12.95,13.3,12.75,13092,22489743.63,4.24,-0.23,-0.03,2.72
2025-02-24,920694,12.82,13.3,13.53,12.78,13342,23184824.43,5.79,2.7,0.35,2.78
2025-02-25,920694,13.18,12.96,13.18,12.88,8820,15169482.36,2.26,-2.56,-0.34,1.83
2025-02-26,920694,13.03,12.95,13.2,12.88,8970,15464890.18,2.47,-0.08,-0.01,1.87
2025-02-27,920694,12.85,13.12,13.19,12.85,9806,16847996.79,2.63,1.31,0.17,2.04
2025-02-28,920694,13.31,13.2,13.88,13.0,19548,34729677.79,6.71,0.61,0.08,4.07
2025-03-03,920694,13.26,13.62,13.68,12.93,16966,30111741.17,5.68,3.18,0.42,3.53
2025-03-04,920694,13.59,13.99,14.06,13.42,17518,32140242.06,4.7,2.72,0.37,3.64
2025-03-05,920694,14.0,14.12,14.22,13.62,20616,38199764.97,4.29,0.93,0.13,4.29
2025-03-06,920694,14.22,14.0,14.3,13.54,19410,35600754.98,5.38,-0.85,-0.12,4.04
2025-03-07,920694,13.88,14.01,14.33,13.85,16571,30906997.89,3.43,0.07,0.01,3.45
2025-03-10,920694,14.13,14.78,14.78,14.01,18529,35278679.87,5.5,5.5,0.77,3.85
2025-03-11,920694,14.99,14.82,15.44,14.46,22114,43251724.46,6.63,0.27,0.04,4.6
2025-03-12,920694,14.74,14.85,15.27,14.55,18946,37316495.32,4.86,0.2,0.03,3.94
