日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920717,8.28,8.78,8.83,7.54,46427,39277020.03,15.28,4.03,0.34,11.09
2025-01-03,920717,8.65,9.03,9.14,8.41,48339,42631676.74,8.31,2.85,0.25,11.54
2025-01-06,920717,9.01,8.74,9.03,8.67,27760,24596537.64,3.99,-3.21,-0.29,6.63
2025-01-07,920717,8.76,8.76,8.91,8.21,32880,28158539.15,8.01,0.23,0.02,7.85
2025-01-08,920717,8.59,8.64,8.72,8.35,23218,19978761.1,4.22,-1.37,-0.12,5.54
2025-01-09,920717,8.66,8.9,9.03,8.54,29421,26110471.98,5.67,3.01,0.26,7.03
2025-01-10,920717,8.86,8.16,8.96,8.16,26320,22747224.12,8.99,-8.31,-0.74,6.28
2025-01-13,920717,8.16,7.95,8.31,7.89,15878,12875935.43,5.15,-2.57,-0.21,3.79
2025-01-14,920717,7.97,8.7,8.71,7.97,26435,22362155.06,9.31,9.43,0.75,6.31
2025-01-15,920717,8.76,8.67,9.16,8.61,33801,30207846.99,6.32,-0.34,-0.03,8.07
2025-01-16,920717,8.71,8.96,9.03,8.68,27099,24139759.91,4.04,3.34,0.29,6.47
2025-01-17,920717,9.0,8.9,9.13,8.78,18411,16593092.29,3.91,-0.67,-0.06,4.4
2025-01-20,920717,9.02,8.88,9.04,8.76,15041,13468234.93,3.15,-0.22,-0.02,3.59
2025-01-21,920717,8.94,8.8,8.96,8.62,13185,11607873.83,3.83,-0.9,-0.08,3.15
2025-01-22,920717,8.76,8.55,8.81,8.5,8975,7771808.62,3.52,-2.84,-0.25,2.14
2025-01-23,920717,8.69,8.59,8.9,8.58,12789,11270956.91,3.74,0.47,0.04,3.05
2025-01-24,920717,8.57,8.76,8.88,8.54,9001,7890437.06,3.96,1.98,0.17,2.15
2025-01-27,920717,8.88,8.52,8.9,8.52,8640,7586805.79,4.34,-2.74,-0.24,2.06
2025-02-05,920717,8.65,8.4,8.77,8.37,9050,7734071.21,4.69,-1.41,-0.12,2.16
2025-02-06,920717,8.46,8.82,8.84,8.32,14401,12430490.56,6.19,5.0,0.42,3.44
2025-02-07,920717,8.87,9.15,9.5,8.83,32857,30339616.07,7.6,3.74,0.33,7.85
2025-02-10,920717,9.17,9.41,9.42,9.1,22273,20712606.82,3.5,2.84,0.26,5.32
2025-02-11,920717,9.45,9.49,9.85,9.3,31868,30658379.66,5.84,0.85,0.08,7.61
2025-02-12,920717,9.54,10.09,10.13,9.47,40321,39853293.39,6.95,6.32,0.6,9.63
2025-02-13,920717,10.06,10.25,10.51,9.86,41537,42632717.97,6.44,1.59,0.16,9.92
2025-02-14,920717,10.24,10.18,10.41,9.95,32627,33227970.0,4.49,-0.68,-0.07,7.79
2025-02-17,920717,10.26,10.64,10.84,10.04,35314,37264003.9,7.86,4.52,0.46,8.43
2025-02-18,920717,10.68,9.78,10.71,9.76,22439,23110933.41,8.93,-8.08,-0.86,5.36
2025-02-19,920717,9.95,9.99,10.07,9.81,14490,14463949.72,2.66,2.15,0.21,3.46
2025-02-20,920717,10.04,10.17,10.31,9.86,16447,16696639.3,4.5,1.8,0.18,3.93
2025-02-21,920717,10.19,10.22,10.24,9.98,15958,16272658.14,2.56,0.49,0.05,3.81
2025-02-24,920717,10.22,10.47,10.82,10.14,27792,29252191.97,6.65,2.45,0.25,6.64
2025-02-25,920717,10.26,10.12,10.51,10.06,17135,17588188.55,4.3,-3.34,-0.35,4.09
2025-02-26,920717,10.21,10.26,10.45,10.12,18200,18748973.61,3.26,1.38,0.14,4.35
2025-02-27,920717,10.33,10.51,10.65,10.04,21590,22427954.46,5.95,2.44,0.25,5.16
2025-02-28,920717,10.36,10.35,10.78,10.25,22755,24077977.29,5.04,-1.52,-0.16,5.43
2025-03-03,920717,10.29,10.71,10.83,10.21,25115,26818554.68,5.99,3.48,0.36,6.0
2025-03-04,920717,10.76,11.26,11.35,10.58,36427,40609290.51,7.19,5.14,0.55,8.7
2025-03-05,920717,11.37,11.43,11.75,11.0,34221,39421195.5,6.66,1.51,0.17,8.17
2025-03-06,920717,11.32,11.75,11.75,10.96,43310,49448212.18,6.91,2.8,0.32,10.34
2025-03-07,920717,11.8,11.47,12.01,11.35,28833,33837361.64,5.62,-2.38,-0.28,6.88
2025-03-10,920717,11.51,11.85,11.85,11.4,19539,22831276.12,3.92,3.31,0.38,4.67
2025-03-11,920717,11.76,11.71,11.8,11.47,17101,19958533.63,2.78,-1.18,-0.14,4.08
2025-03-12,920717,11.78,12.15,12.35,11.58,39059,47268354.65,6.58,3.76,0.44,9.33
2025-03-13,920717,12.01,12.58,12.58,11.76,32188,39183230.9,6.75,3.54,0.43,7.69
2025-03-14,920717,12.56,12.91,13.19,12.29,32973,42097670.43,7.15,2.62,0.33,7.87
2025-03-17,920717,12.77,13.34,13.62,12.77,34789,46348662.17,6.58,3.33,0.43,8.31
2025-03-18,920717,13.38,13.92,14.14,13.16,48052,65645638.72,7.35,4.35,0.58,11.47
2025-03-19,920717,13.4,12.11,13.56,11.96,46739,59589623.06,11.49,-13.0,-1.81,11.16
2025-03-20,920717,11.87,11.19,12.34,11.18,36621,42909614.88,9.58,-7.6,-0.92,8.74
2025-03-21,920717,11.09,10.54,11.3,10.41,33487,35933544.6,7.95,-5.81,-0.65,8.0
2025-03-24,920717,10.54,10.65,10.72,10.01,19698,20421372.24,6.74,1.04,0.11,4.7
2025-03-25,920717,10.61,11.34,11.4,10.61,32174,35548242.91,7.42,6.48,0.69,7.68
2025-03-26,920717,11.24,11.09,11.59,11.09,18763,21349497.29,4.41,-2.2,-0.25,4.48
2025-03-27,920717,10.99,11.44,11.56,10.89,20848,23671349.79,6.04,3.16,0.35,4.98
2025-03-28,920717,11.08,10.72,11.61,10.54,26433,29269159.42,9.35,-6.29,-0.72,6.31
2025-03-31,920717,10.57,10.18,10.57,9.95,19796,20109205.75,5.78,-5.04,-0.54,4.73
2025-04-01,920717,10.43,10.39,10.61,10.3,14011,14706073.11,3.05,2.06,0.21,3.35
2025-04-02,920717,10.41,10.44,10.61,10.3,9011,9482685.63,2.98,0.48,0.05,2.15
2025-04-03,920717,10.41,11.03,11.21,10.21,25348,27749857.46,9.58,5.65,0.59,6.05
2025-04-07,920717,10.46,8.81,10.56,8.21,28050,26955101.8,21.31,-20.13,-2.22,6.7
2025-04-08,920717,9.06,9.7,9.74,9.03,19711,18593135.19,8.06,10.1,0.89,4.71
2025-04-09,920717,9.42,10.6,10.71,9.41,24943,25666474.88,13.4,9.28,0.9,5.96
2025-04-10,920717,10.55,10.96,11.4,10.55,38504,42980064.69,8.02,3.4,0.36,9.19
2025-04-11,920717,10.75,11.01,11.51,10.68,25645,28856842.12,7.57,0.46,0.05,6.12
2025-04-14,920717,11.1,11.47,11.71,11.1,23564,27051137.66,5.54,4.18,0.46,5.63
2025-04-15,920717,11.56,11.33,11.66,11.09,17191,19511396.5,4.97,-1.22,-0.14,4.1
2025-04-16,920717,11.26,11.27,11.48,10.88,12025,13552376.57,5.3,-0.53,-0.06,2.87
2025-04-17,920717,11.19,11.71,11.83,11.14,21584,25089777.11,6.12,3.9,0.44,5.15
2025-04-18,920717,11.66,11.87,12.1,11.5,29191,34628522.27,5.12,1.37,0.16,6.97
2025-04-21,920717,12.34,12.25,12.35,11.72,31740,38305460.85,5.31,3.2,0.38,7.58
2025-04-22,920717,12.26,11.73,12.57,11.56,36903,44719331.97,8.24,-4.24,-0.52,8.81
2025-04-23,920717,11.74,11.58,11.89,11.55,22032,25873151.47,2.9,-1.28,-0.15,5.26
2025-04-24,920717,11.58,11.04,11.75,10.99,30889,34836505.52,6.56,-4.66,-0.54,7.38
2025-04-25,920717,11.04,10.76,11.2,10.76,15660,17290632.15,3.99,-2.54,-0.28,3.74
2025-04-28,920717,10.85,10.31,10.85,10.26,13948,14622670.25,5.48,-4.18,-0.45,3.33
2025-04-29,920717,10.25,10.56,10.73,10.21,8015,8490002.77,5.04,2.42,0.25,1.91
2025-04-30,920717,10.51,10.86,11.09,10.51,11011,12058426.61,5.49,2.84,0.3,2.63
2025-05-06,920717,11.26,11.66,11.71,10.96,18987,21741895.68,6.91,7.37,0.8,4.53
2025-05-07,920717,11.65,11.52,11.92,11.4,18164,21236137.67,4.46,-1.2,-0.14,4.34
2025-05-08,920717,11.66,11.72,11.84,11.57,13720,16132540.12,2.34,1.74,0.2,3.28
2025-05-09,920717,11.83,11.61,11.84,11.41,12342,14396038.8,3.67,-0.94,-0.11,2.95
2025-05-12,920717,11.76,11.69,11.83,11.52,11745,13744648.44,2.67,0.69,0.08,2.8
2025-05-13,920717,11.92,11.41,11.92,11.41,11509,13472423.61,4.36,-2.4,-0.28,2.75
2025-05-14,920717,11.55,11.74,11.76,11.35,13709,15929900.3,3.59,2.89,0.33,3.27
2025-05-15,920717,11.91,11.8,12.21,11.68,20476,24552363.96,4.51,0.51,0.06,4.89
2025-05-16,920717,11.96,11.99,12.46,11.86,21970,26573414.27,5.08,1.61,0.19,5.25
2025-05-19,920717,11.99,12.15,12.3,11.72,20322,24622628.57,4.84,1.33,0.16,4.85
2025-05-20,920717,12.36,12.67,12.69,12.13,30194,37831575.41,4.61,4.28,0.52,7.21
2025-05-21,920717,12.64,12.31,13.08,12.23,24890,31412390.46,6.71,-2.84,-0.36,5.94
2025-05-22,920717,12.46,11.62,12.62,11.54,22791,27568828.55,8.77,-5.61,-0.69,5.44
2025-05-23,920717,11.85,11.42,11.99,11.42,13535,15914625.1,4.91,-1.72,-0.2,3.23
2025-05-26,920717,11.34,12.37,12.4,11.34,26619,32073994.9,9.28,8.32,0.95,6.36
2025-05-27,920717,12.48,12.13,12.54,11.9,16569,20309440.32,5.17,-1.94,-0.24,3.96
2025-05-28,920717,12.21,11.73,12.25,11.73,6996,8386056.1,4.29,-3.3,-0.4,1.67
