日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920839,15.56,15.41,15.86,15.12,8111,13050394.33,4.76,-0.96,-0.15,1.25
2025-01-03,920839,15.59,15.48,15.9,15.38,6988,11253917.62,3.37,0.45,0.07,1.07
2025-01-06,920839,15.5,15.18,15.7,15.11,4841,7683390.87,3.81,-1.94,-0.3,0.74
2025-01-07,920839,15.33,15.56,15.62,14.95,6621,10457086.71,4.41,2.5,0.38,1.02
2025-01-08,920839,15.43,15.76,16.06,15.07,8351,13461899.42,6.36,1.29,0.2,1.28
2025-01-09,920839,15.88,16.37,16.66,15.69,14675,24663871.4,6.15,3.87,0.61,2.25
2025-01-10,920839,16.3,16.02,16.79,16.02,11632,19755101.05,4.7,-2.14,-0.35,1.79
2025-01-13,920839,15.7,15.57,16.24,15.31,6986,11321798.23,5.81,-2.81,-0.45,1.07
2025-01-14,920839,15.62,17.29,17.35,15.62,24272,41558795.32,11.11,11.05,1.72,3.73
2025-01-15,920839,18.0,18.06,19.68,17.78,39567,75888977.4,10.99,4.45,0.77,6.08
2025-01-16,920839,18.0,19.68,19.73,18.0,30231,58888093.6,9.58,8.97,1.62,4.64
2025-01-17,920839,19.46,18.78,20.92,18.5,23432,46921726.78,12.3,-4.57,-0.9,3.6
2025-01-20,920839,18.76,19.78,20.23,18.41,26028,51158104.64,9.69,5.32,1.0,4.0
2025-01-21,920839,20.0,19.07,20.16,18.94,16931,33444142.06,6.17,-3.59,-0.71,2.6
2025-01-22,920839,19.18,18.0,19.22,17.9,14498,27216004.14,6.92,-5.61,-1.07,2.23
2025-01-23,920839,18.35,17.8,18.92,17.8,14248,26830766.09,6.22,-1.11,-0.2,2.19
2025-01-24,920839,17.9,17.9,18.23,17.68,8101,14919351.85,3.09,0.56,0.1,1.24
2025-01-27,920839,18.13,17.36,18.19,17.36,6328,11532705.18,4.64,-3.02,-0.54,0.97
2025-02-05,920839,17.51,17.38,17.77,17.33,6258,11268092.39,2.53,0.12,0.02,0.96
2025-02-06,920839,17.29,18.86,18.87,17.21,20903,39297571.35,9.55,8.52,1.48,3.21
2025-02-07,920839,18.86,19.14,19.79,18.6,23792,46660422.51,6.31,1.48,0.28,3.66
2025-02-10,920839,19.1,19.4,19.45,18.85,14445,28421047.17,3.13,1.36,0.26,2.22
2025-02-11,920839,19.39,19.0,20.06,18.94,24459,48844999.96,5.77,-2.06,-0.4,3.76
2025-02-12,920839,18.92,19.25,19.38,18.85,14017,27534110.67,2.79,1.32,0.25,2.15
2025-02-13,920839,19.38,18.4,19.48,18.4,13650,26493291.53,5.61,-4.42,-0.85,2.1
2025-02-14,920839,18.41,18.26,18.59,18.03,9548,17936377.7,3.04,-0.76,-0.14,1.47
2025-02-17,920839,18.08,18.57,18.85,18.08,7872,14973011.56,4.22,1.7,0.31,1.21
2025-02-18,920839,18.69,18.28,19.3,18.15,12930,24943556.79,6.19,-1.56,-0.29,1.99
2025-02-19,920839,18.26,19.65,19.97,18.08,24052,47488173.02,10.34,7.49,1.37,3.7
2025-02-20,920839,19.99,20.82,21.5,19.7,37140,78414503.84,9.16,5.95,1.17,5.71
2025-02-21,920839,20.5,20.65,21.16,20.07,20797,43942191.42,5.24,-0.82,-0.17,3.2
