日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920876,16.48,16.26,16.96,16.0,11921,19500584.91,5.89,-0.31,-0.05,3.13
2025-01-03,920876,16.34,18.0,18.0,16.26,29423,50305367.56,10.7,10.7,1.74,7.72
2025-01-06,920876,18.6,17.57,18.6,16.96,23045,40504775.76,9.11,-2.39,-0.43,6.04
2025-01-07,920876,17.66,18.21,18.27,17.0,21649,38081535.54,7.23,3.64,0.64,5.68
2025-01-08,920876,18.0,18.12,18.3,17.3,18186,32522642.67,5.49,-0.49,-0.09,4.77
2025-01-09,920876,18.19,18.31,18.83,17.97,25253,46566339.53,4.75,1.05,0.19,6.62
2025-01-10,920876,18.93,17.6,19.79,17.6,27898,52555713.63,11.96,-3.88,-0.71,7.32
2025-01-13,920876,17.27,16.73,17.31,16.48,17502,29410118.66,4.72,-4.94,-0.87,4.59
2025-01-14,920876,17.0,18.95,19.55,16.87,28593,51592648.19,16.02,13.27,2.22,7.5
2025-01-15,920876,18.74,19.2,19.96,18.31,30986,59842842.74,8.71,1.32,0.25,8.13
2025-01-16,920876,19.71,19.32,20.29,19.16,21795,42899465.06,5.89,0.63,0.12,5.71
2025-01-17,920876,19.0,19.03,19.48,18.75,15482,29536791.93,3.78,-1.5,-0.29,4.06
2025-01-20,920876,19.9,18.62,19.97,18.6,13959,26796253.4,7.2,-2.15,-0.41,3.66
2025-01-21,920876,18.78,18.97,19.35,18.38,14928,28193450.17,5.21,1.88,0.35,3.91
2025-01-22,920876,18.83,18.07,18.86,17.92,14653,26736406.51,4.96,-4.74,-0.9,3.84
2025-01-23,920876,18.4,18.16,18.9,18.12,13802,25647250.64,4.32,0.5,0.09,3.62
2025-01-24,920876,18.05,20.16,20.34,17.87,40202,78144230.9,13.6,11.01,2.0,10.54
2025-01-27,920876,19.54,19.61,19.88,18.5,33725,64387239.01,6.85,-2.73,-0.55,8.84
2025-02-05,920876,20.1,20.78,21.38,19.92,39674,82379437.43,7.45,5.97,1.17,10.4
2025-02-06,920876,20.54,27.01,27.01,20.06,99584,245857853.81,33.45,29.98,6.23,26.11
