日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,920982,156.15,155.85,157.46,153.05,2874,58779582.39,2.81,-0.54,-0.84,0.63
2025-01-03,920982,156.62,158.48,160.92,153.67,4759,99534161.75,4.65,1.69,2.63,1.04
2025-01-06,920982,158.62,164.09,165.14,158.62,7809,168023686.55,4.11,3.54,5.61,1.7
2025-01-07,920982,163.0,162.47,165.15,160.32,4049,86264393.49,2.94,-0.99,-1.62,0.88
2025-01-08,920982,161.85,164.94,166.69,160.55,6040,131144333.94,3.78,1.52,2.47,1.32
2025-01-09,920982,164.96,163.38,166.25,162.08,2385,51480910.93,2.53,-0.95,-1.56,0.52
2025-01-10,920982,163.37,167.32,169.0,162.88,4402,96964929.14,3.75,2.41,3.94,0.96
2025-01-13,920982,167.54,165.27,167.54,164.38,1832,40009195.01,1.89,-1.23,-2.05,0.4
2025-01-14,920982,165.29,171.31,172.94,165.28,5022,113082277.53,4.63,3.65,6.04,1.09
2025-01-15,920982,172.0,169.09,173.75,168.85,3739,82839506.95,2.86,-1.3,-2.22,0.81
2025-01-16,920982,170.39,173.62,174.38,169.23,6519,147158858.12,3.05,2.68,4.53,1.42
2025-01-17,920982,173.46,177.15,178.85,171.31,6670,153665727.9,4.34,2.03,3.53,1.45
2025-01-20,920982,178.14,179.23,180.54,174.85,5022,117785063.28,3.21,1.17,2.08,1.09
2025-01-21,920982,179.6,178.76,180.45,175.88,3631,85128762.48,2.55,-0.26,-0.47,0.79
2025-01-22,920982,180.54,169.38,180.54,168.46,7046,159902222.89,6.76,-5.25,-9.38,1.54
2025-01-23,920982,171.56,170.15,172.65,169.14,3092,69722345.87,2.07,0.45,0.77,0.67
2025-01-24,920982,167.37,169.46,172.07,164.4,5414,119737656.21,4.51,-0.41,-0.69,1.18
2025-01-27,920982,167.23,170.1,171.31,167.23,2404,53691804.3,2.41,0.38,0.64,0.52
2025-02-05,920982,171.31,166.15,171.92,164.65,2518,55475213.11,4.27,-2.32,-3.95,0.55
2025-02-06,920982,165.92,166.23,166.3,163.55,4726,102544710.6,1.66,0.05,0.08,1.03
2025-02-07,920982,165.68,169.78,172.56,165.0,4825,107661585.26,4.55,2.14,3.55,1.05
2025-02-10,920982,170.54,175.15,175.15,168.25,7430,169162017.24,4.06,3.16,5.37,1.62
2025-02-11,920982,175.12,171.06,175.68,169.88,5313,121012426.69,3.31,-2.34,-4.09,1.16
2025-02-12,920982,171.19,168.81,171.27,166.77,4827,106964360.58,2.63,-1.32,-2.25,1.05
2025-02-13,920982,167.54,169.77,172.09,167.08,3525,79121911.17,2.97,0.57,0.96,0.77
2025-02-14,920982,169.0,167.72,170.29,165.92,4800,106109357.49,2.57,-1.21,-2.05,1.05
2025-02-17,920982,167.52,172.85,173.23,164.47,4856,108928283.34,5.22,3.06,5.13,1.06
2025-02-18,920982,172.84,170.14,173.82,169.82,2519,57065343.6,2.31,-1.57,-2.71,0.55
2025-02-19,920982,170.14,173.85,173.89,166.84,5364,121775345.92,4.14,2.18,3.71,1.17
2025-02-20,920982,173.77,173.62,178.22,172.85,4281,99634123.66,3.09,-0.13,-0.23,0.93
2025-02-21,920982,174.08,173.78,174.21,169.77,4574,103648643.4,2.56,0.09,0.16,1.0
2025-02-24,920982,173.62,171.76,174.05,170.54,2777,63025176.62,2.02,-1.16,-2.02,0.61
2025-02-25,920982,171.54,169.38,173.62,168.75,4054,91512926.62,2.84,-1.39,-2.38,0.88
